sim_id,outcome,trades_taken,final_equity,peak_equity,max_drawdown,max_win_streak,max_loss_streak
962,failed,14,24765.75,25952.75,1187.0,7,5
963,failed,16,24201.0,25285.5,1084.5,3,3
964,failed,25,24181.75,25410.75,1229.0,2,4
965,failed,9,24543.0,25667.5,1124.5,3,5
966,passed,74,26539.5,26539.5,949.25,5,8
967,passed,48,26500.75,26500.75,736.75,3,6
968,failed,43,24111.5,25201.25,1089.75,3,5
969,passed,53,26632.5,26632.5,653.75,6,4
970,passed,37,26564.25,26564.25,413.75,4,4
971,passed,71,26551.5,26551.5,633.0,6,7
972,failed,30,24246.5,25475.0,1228.5,4,10
973,failed,6,24638.75,25869.5,1230.75,1,2
974,passed,49,26645.75,26645.75,605.25,7,5
975,failed,47,24053.5,25341.0,1287.5,5,6
976,passed,42,26564.75,26564.75,747.0,3,5
977,failed,28,24489.75,25589.75,1100.0,2,5
978,failed,59,25473.75,26492.25,1018.5,6,7
979,failed,58,25397.25,26464.25,1067.0,4,5
980,passed,112,26716.5,26716.5,972.25,6,4
981,failed,17,24074.0,25179.0,1105.0,2,5
982,failed,20,24009.25,25076.5,1067.25,4,6
983,failed,7,24384.5,25492.5,1108.0,2,4
984,passed,12,26506.0,26506.0,3.5,6,1
985,failed,68,24620.25,25636.0,1015.75,7,5
986,failed,22,24490.5,25524.25,1033.75,3,6
987,passed,47,27099.75,27099.75,849.75,5,6
988,passed,23,27413.75,27413.75,452.0,3,2
989,passed,22,26809.25,26809.25,512.0,3,4
990,passed,39,26522.25,26522.25,899.25,6,3
991,passed,9,26635.25,26635.25,158.0,5,1
992,passed,42,26521.0,26521.0,356.75,6,3
993,failed,22,23955.0,25000.0,1045.0,2,5
994,passed,33,27145.75,27145.75,699.5,5,4
995,failed,11,24701.0,25811.5,1110.5,2,4
996,passed,52,27395.5,27395.5,753.75,5,5
997,passed,12,26566.0,26566.0,536.0,2,2
998,failed,32,24956.75,25985.5,1028.75,6,6
999,failed,38,24500.5,25674.25,1173.75,2,11
1000,passed,34,26659.0,26659.0,668.75,4,3
1001,failed,31,24789.25,25832.75,1043.5,5,10
1002,passed,14,26606.75,26606.75,908.0,7,4
1003,failed,7,23997.0,25000.0,1003.0,1,5
1004,passed,44,26699.25,26699.25,559.5,4,4
1005,failed,14,23947.0,25000.0,1053.0,3,3
1006,failed,27,25216.75,26304.0,1087.25,3,7
1007,failed,70,23939.75,25000.0,1060.25,6,6
1008,passed,59,26789.0,26789.0,868.0,7,5
1009,passed,27,26513.5,26513.5,756.25,8,3
1010,passed,19,26612.75,26612.75,183.75,4,3
1011,failed,11,24233.25,25243.75,1010.5,2,9
1012,failed,24,24505.0,25602.5,1097.5,4,3
1013,failed,78,23875.75,25037.25,1161.5,5,9
1014,failed,45,24507.0,25622.75,1115.75,3,6
1015,passed,27,26824.5,26824.5,236.5,5,2
1016,passed,59,26609.75,26609.75,861.75,7,6
1017,failed,35,23935.75,25000.0,1064.25,4,5
1018,passed,22,26616.75,26616.75,986.0,4,3
1019,passed,14,26593.0,26593.0,729.5,6,3
1020,failed,10,23994.25,25000.0,1005.75,1,3
1021,passed,51,26501.75,26501.75,631.5,4,4
1022,passed,7,26776.5,26776.5,268.0,4,1
1023,failed,11,24205.5,25241.5,1036.0,2,5
1024,passed,67,26734.75,26734.75,740.75,4,8
1025,passed,33,26706.25,26706.25,559.25,3,4
1026,failed,5,23813.0,25000.0,1187.0,0,5
1027,failed,14,24259.25,25367.25,1108.0,2,4
